,0,1,2,3,4
12,"Analyst, Data Analytics & Insights, Client Services",CIBC,"Hybrid remote in Toronto, ON","Posted
Posted 6 days ago","We’re building a relationship-oriented bank for the modern world. We need talented, passionate professionals who are dedicated to doing what’s right for our clients.
At CIBC, we embrace your strengths and your ambitions, so you are empowered at work. Our team members have what they need to make a meaningful impact and are truly valued for who they are and what they contribute.
To learn more about CIBC, please visit
CIBC.com
Job Description
What You’ll Be Doing
Reporting to the Director, you will support the Client Services team to manage offboarding and related activities of Capital Markets clients and assist in the preparation of reports/dashboards sourced from the Capital Markets client onboarding system/database. The objective of the reports would be to meet the information requirements of the Capital Markets lines of business, EAML Examiners/Compliance Officers as well as Internal and External auditors. All activities and reports/dashboards to be provided in a high quality and timely manner.
At CIBC we enable the work environment most optimal for you to thrive in your role. You’ll have the flexibility to manage your work activities within a hybrid work arrangement where you’ll spend 1-3 days per week on-site, while other days will be remote.
How You’ll Succeed
Be familiar with the data collection and capture process in the client onboarding system and the overall mandate of the Client Services team
Work with the regional client onboarding and risk review teams within the Client Services team and with our partners in Technology and the Client Data Management teams to improve the quality of client data, which may require manual clean-up and remediation efforts
Lead or assist in the preparation of reports currently produced by the Client Services team and ensure that they meet the on-going objectives of relevant stakeholders on a timely basis as per Service Level Agreement and applicable procedures
Produce accurate and value-add management reports/dashboards on a regular or adhoc basis, as directed by senior management of the Client Services and Client Data Management team
Participate in the operationalization of client data initiatives and projects for the business to improve efficiencies and to comply with AML, regulatory and tax reporting requirements
Assist in the research to obtain information/documents for offboarding and mergers and participate in the triage process to determine active clients who require periodic AML risk reviews
Document processes in the form of procedures/ job aids to assist the team to deliver consistent results and meeting the required deadlines
Work within a challenging, fast paced environment where priorities often shift and time pressures demand a rapid response to requests
Focused attention to detail when conducting all assigned activities, which may include but not limited to reporting, triaging of clients into active vs. inactive groups, merger of client records and offboarding activities
Who You Are
Relevant experience in understanding AML, Regulatory, e.g., OTC Derivatives and tax details in a large client database
Excellent analytical and reporting skills using Microsoft Excel and other business intelligence, analytics and data visualization tools, e.g., Tableau, Alteryx, Power Bii to produce relevant reports and display data to meet the needs of various requestors on a regular or ad-hoc basis
Experience in enhancements on automation, report simplification and streamlining forecasting/planning processes
Must be vigilant in delivering results, have strong attention to details, good planning skills and ability to overcome obstacles
Maintain a sense of urgency and ability to prioritize multiple deliverables
A ""can do"" attitude is a must with a passion for driving solutions
Ability to successfully influence different groups and individuals to deliver high quality and timely deliverables
Ability to directly address conflicts and escalate issues, where appropriate
Highly organized and strong results-orientation that includes adherence to deadline while maintaining high quality results/output
Ability to communicate effectively at all levels of the organization, including clients and front office individuals
Strong sense of accountability and ownership over all assignments and activities
Ability to successfully navigate a complex organizational structure that involves numerous groups and individuals
Excellent problem solving, and time management skills
Adaptable, flexible and willing to work in a dynamic environment
Comfortable working with a team and individually to deliver results
Understanding of Capital Markets infrastructure, systems/applications, and businesses/products
Values matter to you. You bring your real self to work and you live our values - trust, teamwork, and accountability.
What CIBC offers
At CIBC, your goals are a priority. We start with your strengths and ambitions as an employee and strive to create opportunities to tap into your potential. We aspire to give you a career, rather than just a paycheck.
We work to recognize you in meaningful, personalized ways including a competitive salary, incentive pay, banking benefits, a health benefits program, defined benefit pension plan, an employee share purchase plan and MomentMakers, our social, points-based recognition program.
Our spaces and technological toolkit will make it simple to bring together great minds to create innovative solutions that make a difference for our clients.
We cultivate a culture where you can express your ambition through initiatives like Purpose Day; a paid day off dedicated for you to use to invest in your growth and development.
What you need to know
CIBC is committed to creating an inclusive environment where all team members and clients feel like they belong. We seek applicants with a wide range of abilities and we provide an accessible candidate experience. If you need accommodation, please contact
Mailbox.careers-carrieres@cibc.com
You need to be legally eligible to work at the location(s) specified above and, where applicable, must have a valid work or study permit.
Job Location
Toronto-161 Bay St., 9th
Employment Type
Regular
Weekly Hours
37.5
Skills
Business Effectiveness, Capital Markets"
13,Business Analyst,Ontario Health,"Toronto, ON","Posted
Posted 2 days ago","Want to make a difference in your career? Consider this opportunity!
Reporting to the Manager, Planning and Operations, the Business Analyst will work in collaboration with teams within the Health Technology Assessment, Clinical and Quality Standards, and Health Care Quality Improvement programs within the Quality division and across Ontario Health’s Clinical Institutes and Quality Programs portfolio. The Business Analyst will contribute to the planning, execution, and evaluation of high-quality reports that align with Ontario Health’s mandate of promoting health care based on the best available evidence. With the support of a cross-functional team, the business analyst will identify project requirements, collect and analyze information, and develop and maintain process and project documentation to ensure effective and efficient project delivery. This is a multi-faceted position requiring excellent skills in verbal and written communication, external partner engagement, analysis, and project management.

Here is what you will be doing:
Work closely with the project managers to develop project charters, schedules, plans, risk-and-issue logs, and other project documentation
Support teams to effectively plan projects from initiation to close, with a focus on strategic priorities
Monitor project progress and risks, determine and analyze the overall impact of risks and identify resolutions, escalate issues to the project manager and/or manager, and implement contingency plans once approved by the manager
Develop project and analytical tools, templates, and other documentation to support advancement of project management practices, according to project needs
Analyze and plan for report production and implementation, ensuring compliance with standards and procedures, including internal approvals process and production requirements, when applicable
Assist with the development and presentation of operational analytical reports
Analyze current business processes and support the development of process diagrams and workflows
Organize or facilitate effective internal project meetings, as well as develop agendas, prepare materials, take minutes, and collect project data
Facilitate change control procedures to ensure compliance with standards and best practices
Support and organize the planning and establishment of advisory committees
Plan and support meetings with external partners, including providing documentation to support meeting governance
Support compliance with Project Management Office and organizational methodologies, templates, and processes
Gather and analyze program data to facilitate decision-making
Develop relationships with the manager and project managers to ensure that project plan deliverables are effectively coordinated and issues are resolved
Develop strong relationships with colleagues across the organization to understand business and operations activities
Communicate project statuses effectively to relevant partners, anticipating their information needs
Work with external and internal partners to ensure the delivery of services or products to defined standards, within the defined time
Here is what you will need to be successful:

Education and Experience
Undergraduate degree in business administration or a health-related discipline (health sciences, health informatics, health administration, or equivalent) with project management experience
2 years’ related work experience in a project coordinator or equivalent role (preferred)
3-4 years’ related work experience.

Knowledge and Skills
Strong organizational skills
Sound knowledge of analysis, problem solving, and structured approaches to identifying solutions
Excellent MS Office Suite skills; in particular, Outlook, Word, PowerPoint, Visio, and Excel, as well as MS SharePoint, MS Project, and MS Teams
Proven ability to respond to a wide variety of issues and deal with unclear situations and conflicting demands
Excellent judgment in setting priorities, identifying issues, and determining actions required; adept at balancing major concurrent tasks and projects
Ability to work autonomously within the overall context of a project group
Strong communication skills (written and oral)
Ability to build strong relationships with internal and external partners
Progressing toward or has Project Management Professional (PMP) certification or equivalent designation

Employment Type: Permanent Full-Time

Paygrade and Zone: 4A

Employment Location: Toronto, Ontario (currently virtual; subject to change). All applicants must be a resident of Ontario to be considered for roles at Ontario Health.
Internal Application Deadline Date: October 6, 2022

Ontario Health actively encourages applications candidates who are First Nations, Métis, Inuit, and urban Indigenous; Francophone; Black and racialized; members of 2SLGBTQIA+ communities; trans and nonbinary; and disabled.

We encourage applicants with accessibility needs to notify us if they have any accommodation needs in the application and/or interview process.

Note: As part of the initial recruitment screening process, Applicants must confirm that they are Fully Vaccinated against COVID-19. If Applicants are not Fully Vaccinated, they will be asked to identify any accommodation needs pursuant to a protected ground under the Code. If no such accommodation is identified, the Applicant will not be eligible to proceed through the recruitment process."
14,Data Analyst (Growth),Felix,"Remote in Toronto, ON","Posted
Posted 9 days ago","Remote; Toronto
About Felix
Founded in 2019, Felix is a patient-driven digital healthcare company that puts you in control of your health and wellbeing. We’re passionate about building technology and beautiful customer experiences to make healthcare more accessible (and more enjoyable) for all Canadians. Our strong venture partners provide us the resources to support our rapid growth and we are continuing to build our incredible team based in Toronto. Felix is Canada's first end-to-end healthcare experience, providing online treatment, prescription delivery and ongoing care across a growing range of categories such as birth control, erectile dysfunction, acne and more.

Job Description
We are looking for a Data Analyst to join the Felix Operations team! Reporting directly to the BI Manager, you will be fundamentally responsible for the collection and analysis of data as it relates to our marketing and growth efforts. The Data Analyst will work in support of the Felix Growth Marketing team, and will use data to develop strategies that improve and optimize the performance of our user acquisition campaigns, drive conversion within our marketing funnel and facilitate engagement and retention throughout the patient lifecycle. The Data Analyst will leverage strong problem-solving and analytical skills to generate insights, draw conclusions and help us best understand our data.

Responsibilities
Be the primary point of contact for analytics support for the Growth Marketing team
Work cross-functionally with the Growth Marketing and Product & Design teams to collect and synthesize data and provide insights into patient acquisition and lifecycle
Build and own marketing analytics dashboards in Tableau (e.g. performance marketing including paid social and paid search, funnel breakdown, etc.)
Identify key audience segments within our customer base and across our verticals of care using metrics such as LTV, cross sell %, etc.
Perform cohort analysis to help us better understand our customer journey
Carry out ad hoc analyses
Automate and improve processes focused on increasing the efficacy of our Growth Marketing strategies relating to user acquisition, engagement and retention

Requirements
2-4 years of demonstrable experience in a data analyst or marketing analyst role
A university degree in an analytical discipline (e.g. Statistics, Computer Science, Marketing Analytics, Business, Economics, Mathematics, etc.)
Fluency with data, analytics and visualization technologies (SQL, Python, R, Tableau, Mixpanel)
Working knowledge of marketing metrics, platforms, and APIs (e.g. Google Analytics, Facebook Ads, Google Ads, Snapchat Ads, TikTok Ads, etc.)
Experience with acquisition funnel analysis and cohort analysis
Demonstrated track record of successful analysis of online customer behavior
Knowledge of CRM principles and lifecycle marketing strategies (ex. acquisition, retention, customer journey, conversion, churn, winback, etc.)

Benefits
Full medical, dental and vision benefits
Maternity / paternity policy
4 weeks vacation (3 weeks anytime + 1 week during the holidays)
Stock option grant

We are proud to be an equal opportunity workplace committed to building a team culture that celebrates diversity and inclusion.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact hello@felixforyou.ca for assistance.
‍
Apply now"
15,Business Intelligence Analyst,LifeWorks,"Toronto, ON","Posted
Posted 14 days ago","Build a meaningful career
At LifeWorks, we offer more than career opportunities, we provide career opportunities to make meaningful contributions to people’s lives. The extraordinary expertise of a more than 7,000-strong workforce is harnessed to support the employees and families of the organizations we serve. Our innovative programs have a lasting impact on the health, financial security and productivity of 24,000 workplaces.
Lifeworks by LifeWorks’ industry leading employee assistance program supports employees and eligible family members in assessing their work, life, and health issues and is delivered in-person, telephonically, video counselling, first chat, and our LifeWorks mobile application.

Reporting to the Supervisor of Business Intelligence, this role will be responsible for the analysis of data using Excel. This role will provide highly valued client and business intelligence that drives the planning, management and measurement of our business.

The ideal candidate will have the ability to display excellent collaboration and organizational skills, including the ability to maintain exceptional client support and prioritize tasks.
Responsibilities include, but are not limited to:
Creating standard reports for both internal and external clients
Creating custom or ad hoc reports for both internal and external clients
Liaising with internal stakeholders to conduct analysis for determination of content and attributes to fulfill requests for reports
Resolving data and analytical problems quickly and efficiently
Writing queries and macros to automate reporting functions
Proofing and validating report contents for accuracy
Understanding customer requirements to facilitate a quality customer experience
Development and use of meaningful metrics to drive a high performance culture
Contact centre technology and knowledge management
Experience:
Knowledge of statistical concepts and trending analysis
Demonstrated ability with MS Windows, Excel & Word
Strong understanding of relational database structures, theories, principles, and practices
Exceptional analytical, conceptual, and problem-solving abilities
Strong understanding of the organization’s goals and objectives
Strong written and oral communication skills
Strong presentation and interpersonal skills
Able to prioritize and execute tasks in a high-pressure environment
Experience working in a team-oriented, collaborative environment
Experience with Power Bi, SQL, Microsoft Excel, and Cognos.
Where permitted by law, LifeWorks employees must be fully immunized to access a LifeWorks office or customer premises.
Persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to
talentacquisitiononboarding@lifeworks.com
Fulfilling work that matters
LifeWorks is in the business of helping organizations help their people and in the process, we strive to elevate ours. We're always looking for talented professionals and strategic leaders looking to make a difference in the lives of the people we serve. We appreciate the interest of every applicant; however, we contact only those selected for an interview.
At LifeWorks, we are committed to putting our people first. Our priority is to optimize the health and productivity of our people. In light of COVID-19, our company continues to monitor the global situation and following local guidance in each of our communities to ensure the health and wellbeing of our employees. Safety is our highest priority, and while the goal is to ultimately return to the office, we are currently working remotely and are connecting with candidates through virtual interviews, recruitment events, and information sessions. We are excited to connect with you virtually, and look forward to receiving your application."
16,Junior Business Analyst (remote),Software International,"Remote in Mississauga, ON","Posted
Posted 30+ days ago","Our client is a Fortune 500 IT Consulting firm running a large project for Hydro One Networks and they are seeking to add Business Analyst to the team.

Job Description:
Business Systems Analyst is responsible for working with internal users to determine business needs and transform them into information technology system requirements. The Business Systems Analyst will be capable of working both independently and leading a team of programmers/developers/testers. They will need to be capable of working directly with business customers to develop their requirements and develop application designs that are within postal standards.

1. Analyzes and evaluates complex data processing systems both current and proposed, translating business area customer information systems requirements into design requirements

2. Takes in requirements from business analysts and documents technical requirements

3. Defines minimum feature set and user acceptance criteria

4. Plans, estimates, conducts, and supervises assignments generally involving the large projects

5. Provides alternatives, recommendations, and assistance to Management involved in the development, integration, and installation of new products.

6. Provides detailed functional specifications

7. Assists in testing and participates in test phases prior to UAT

8. Supports communication for application/system deployment."
17,Data Analyst,Paladin Security,"Toronto, ON","Posted
Posted 7 days ago","Data Analyst

The Data Analyst is primarily responsible for creating and maintaining effective reports in Power BI, Excel, and other reporting tools, as deemed necessary. This person will bring a sharp analytical mind, inclination for problem solving, and strong communication skills to provide meaningful
insights that can translate into evidence-based business decisions.
This position is hybrid-remote and open to any person that can work out of any one of our branch offices (Canada & US).

Key Responsibilities:
Prepares reports in Power BI, Excel, and Word
Conducts research and meets with internal stakeholders to thoroughly understand business problems and reporting deliverables
Creates presentations showcasing reporting insights and actionable strategies
Assists with the development of data warehouse objects in SQL / Microsoft Azure
Thinks critically to offer effective solutions / improvements to data collection and report generation processes
Monitors the performance of reports and implements improvements as required
Performs other duties as required to meet organizational requirements.
Skills & Requirements
Proficiency with SQL, Power BI (DAX and Power Query), and Excel
Experience with data warehousing and creating/using relational data models
Highly analytical mindset and an ability to prepare reports including descriptive statistics
Ability to communicate technical requirements and reporting insights effectively
Excellent prioritization and time management skills; exceptional attention to detail
Self-motivated with limited direction

Paladin Security: Making the World a Safer and Friendlier Place! Do you have superior customer service skills and a passion for helping people? Are you able to think quickly on your feet and defuse difficult situations? Your track record of handling a great deal of responsibility combined with your varied life experience and enthusiasm for a job well done make you an ideal candidate for our team! The Paladin Difference starts with our officers; we're the best because we hire the best. We believe in promoting from within, respecting people and their differences, providing high quality service and always having fun! If you think you have what it takes to join our team, we want to meet you!

We thank all applicants for their interest; however, only those applicants that are short listed will be contacted for an interview."
18,Data Analyst - Marketing,Score Media and Gaming Inc.,"Remote in Toronto, ON","Posted
Posted 13 days ago","theScore, a wholly-owned subsidiary of PENN Entertainment , empowers millions of sports fans through its digital media and sports betting products. Its media app 'theScore' is one of the most popular in North America, delivering fans highly personalized live scores, news, stats, and betting information from their favorite teams, leagues, and players. theScore's sports betting app 'theScore Bet Sportsbook & Casino' delivers an immersive and holistic mobile sports betting and iCasino experience. theScore Bet is currently live in the Company's home province of Ontario. theScore also creates and distributes innovative digital content through its web, social and esports platforms.
About the Role & Team
On the Analytics team at theScore, our mission is to develop high-quality and sustainable data-driven solutions to improve profitability, growth and the user experience. As a Data Analyst, you'll work hand-in-hand with the Marketing team to help them leverage data to track performance, make better decisions and ultimately reach their goals. The ideal candidate has strong communications skills, a passion for data, a background in quantitative analysis and an interest in professional sports, betting & eSports.
About the Work
As a key member of our Analytics team you will:
Develop a deep understanding of how users interact with theScore's apps and websites.
Answer ad-hoc questions & requests by leveraging data available in SQL databases.
Leverage marketing analytics tools (e.g. Branch, Appsflyer, Optimove) to provide insights.
Monitor and report on all marketing KPIs and investigate anomalies as they arise.
Analyze and compare quality of paid acquisition and CRM campaigns for media & betting apps.
Analyze results of betting promotions and recommend improvements & optimizations.
Design, create, execute and measure results from multivariate testing related to marketing activities.
Stay on top of emerging trends in media, sports betting, analytics & marketing industries.
Perform deep-dive analyses and provide recommendations to help make impactful, data-driven decisions
About You
University degree in Business, Economics, Computer Science or related field.
2+ years of related experience.
Demonstrated ability to work with a variety of analytics tools such as, but not limited to:
Amplitude, Periscope, Sisense, Branch, AppsFlyer, Sensor Tower, Google Analytics.
Strong knowledge of relational databases and SQL.
Familiarity with analysis tools; R or Python packages are preferred.
A passion and curiosity for solving analytical problems using quantitative approaches.
Ability to take complex data and present it in a clear and simple manner.
Ability to focus in a fast paced environment and multitask.
Excellent written and oral communications skills.
What We Offer
Competitive compensation package
Fun, relaxed work environment
Education and conference reimbursements.
Parental leave top up
Opportunities for career progression and mentoring others

#LI-REMOTE

theScore is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability or age."
19,Product Analyst - Co-op Student,TELUS,"Toronto, ON","Posted
Posted 2 days ago","Location: Toronto, ON, CA
Req ID: 29642
Jobs by Category: Students and New Grads
Job Function: Co-op, Internship, Summer
Status: Full Time
Schedule: Temporary
Description

The Product Analyst role is designed to help improve TELUS Cloud Collaboration and Conferencing product performance. The analyst will be analyzing product data, sales enablement content, processes and tools. This analysis will support informed change management and decision-making. The analyst will not only analyze but also execute on changes to content, processes, and tools. This will enable increased productivity, efficiency, quality, optimization and ultimately will improve client experience, business performance and business processes.

Qualifications

What you will do - What you bring to the role: (Required skills)

Analyze financial and contract data to identify billing and revenue assurance improvements supporting profitability. Report on findings on data analysis and recommended solutions. Execute on approved solutions
Analyze product sales enablement, and process content posted online within the corporate intranet, and within google g-suite, and SharePoint. Report on findings on data analysis and recommended solutions. Execute on approved solutions
Analyze sales enablement tools, and models. Report on findings on data analysis and recommended solutions. Execute on approved solutions
Analyze competitive information to help support information management decision-making on product roadmap. Report on findings to senior product management team
Establish a positive working relationship based on trust and mutual respect with individuals within the TELUS team ensure we deliver as promised

Great-to-Have

Strong interpersonal, analytical, persuasion, written communication skills
Information Management - understanding of requirements gathering and qualifying opportunities
Industry Knowledge – basic knowledge and application of telecommunications and IT industries
Resources Management – effectively structures work, plan activities and takes responsibility to meet business goals"
20,Data Analyst,Infotek Consulting Services,"Toronto, ON","Posted
Posted 15 days ago","Job Description Summary
Provide BAU support for Data Governance and DQ applications like IBM’s Information Analyzer, IMAM and BPM.
Develop, Document and manage Data Quality rules and reports
Partner with business users in order to fully understand and capture all relevant business requirements
Ensure Capital Markets Business Meta Data is up to date and correct
Support Capital Markets Business Lines and Regulatory Programs in the adoption of Data Governance Principles and use of the enterprise Collibra platform
Communicate and collaborate with business clients to analyze requirements and deliver the appropriate artifacts as needed
Conduct data analysis in support of applications and projects, including identifying and documenting business rules, data needs and data specifications
Must have
· 3+ years of experience in the financial services industry
· Data Quality functional & process knowledge
· Strong understanding of the data lifecycle, including strong focus on data governance
· Experience with implementing and supporting Data Quality Analysis and reporting
· Strong knowledge of SQL, Python and R, Information Analyser, and Tableau
Job Type: Fixed term contract
Contract length: 6 months
Salary: $45.00-$60.00 per hour
Schedule:
Day shift
Work Location: One location"
21,RESEARCH ANALYST 1,City of Toronto,"Toronto, ON","Posted
Posted 7 days ago","Job Category: Policy, Planning & Research
Division & Section: Employment & Social Services, Business & Financial Supports & Workforce Dev & OW Program Support
Work Location: Metro Hall, 55 John Street, Toronto
Job Type & Duration: Full-time, Temporary (12 month) vacancy
Hourly Rate: $42.09 - $46.12
Shift Information: Monday to Friday, 35 hours per week
Affiliation: L79 Full-time
Number of Positions Open: 2
Posting Period: 22-Sep-2022 to 6-Oct-2022

Job Summary:
To research and analyze information and data to inform and support policy and program development, planning and implementation. Collects, analyzes, interprets and maintains research reports and related documents utilizing statistical, economic and service delivery data.
Major Responsibilities:
Conducts research and jurisdictional reviews on topics involving collection of information from sources such as other levels of government, libraries, public databases, other divisions, community agencies, and global organizations. Conducts literature searches and utilizes other social, economic and scientific research methods. Develops and administers questionnaires, surveys and other tools for gathering of business information.
Collects, analyzes, evaluates and interprets information/findings to develop recommendations for improvement to existing Divisional projects, policies and services and to inform and support the development of theories, concepts, tactics and objectives for new Divisional projects, policies and services.
Provides policy and program analysis and research support on a broad range of economic, business and strategic infrastructure and service delivery issues.
Writes reports for management based on research. Documents findings, supporting data, recommendations, options and theories. Prepares and co-ordinates briefs and summary reports on subjects such as legislative/regulatory changes, research information and implications and/or risks of findings and program recommendations.
Prepares abstracts and summaries of studies using a range of analytical techniques such as statistical, economic, scientific and qualitative.
Prepares ad hoc reports from various existing subsystems to support program delivery
Provides research support to other divisions, Councillors, task forces and committees by locating and providing information requested. Circulates data throughout the Division in support of operational mandate.
Develops and sets up computer applications to store and retrieve data (e.g., census information, library catalogues).
Queries and analysis of Social Assistance Management System (SAMS), extract data for tactical reporting and research purposes.
Maintains electronic library to support unit operations e.g. research data, statistics, acts, books, periodicals, reference material and council minutes. Collects, purchases, indexes/catalogues and files material. Modifies/develops reference system.
Attends meetings with staff, networks with other units, divisions, different levels of government, other divisions and community agencies. Participates in problem solving and development of solutions.
Provides accurate and timely statistics, data analysis and related insights.
Key Qualifications:
Your application must describe your qualifications as they relate to:
Post-Secondary degree or diploma in the area of social sciences (social work, social policy, sociology/social psychology, social anthropology) or related discipline, or the approved equivalent combination of education and/or experience.
Experience in managing and coordinating research and program delivery projects that involve multiple stakeholders, including the tracking, collecting, summarizing, analyzing and reporting (oral and written) of research findings.
Experience in the design of surveys and other mechanisms to gather information to support policy/program development and delivery.
Experience with qualitative research methodology and practices that include the management of electronic databases, data manipulation and related software analysis packages.
Experience using Word, Excel, Access, Power Point, MS Project.
You must also have:
Strong organizational, project management and business analysis skills to optimize and coordinate resources to achieve desired results.
Ability to analyze data, and query on an ad hoc basis (eg. using SPSS).
Knowledge of Oracle Discoverer and PLSQL would be an asset.
Strong interpersonal skills with the ability to work effectively with all levels of staff and internal / external stakeholders with a high level of flexibility to deal with rapidly emerging situations and support collaborative working relationships.
Ability to work independently or in a team environment, including engaging all stakeholders in information gathering, problem-solving and issue resolution.
Well-developed verbal and written communication skills with an ability to prepare reports and statistics within tight deadlines and appropriately tailored to target audiences (e.g. Senior leadership, Council, internal partners, funders, etc.).
Ability to undertake research with vulnerable / high risk individuals and groups using appropriate approaches and methodologies.
Sound knowledge of legislation, regulation and policies governing social assistance, employment supports and the relationship with the provincial government.
Note: All City of Toronto employees are required to be fully vaccinated as a condition of hire in accordance with the City's Mandatory Vaccination Policy. Candidates will be required to show proof of vaccination during the recruitment process.
NOTE TO INTERNAL FULL-TIME AND PART-TIME CITY OF TORONTO EMPLOYEES:
City of Toronto employees must apply to full-time or part-time employment opportunities posted on the City's Internal Job Posting Portal.
Equity, Diversity and Inclusion
The City is an equal opportunity employer, dedicated to creating a workplace culture of inclusiveness that reflects the diverse residents that we serve. Learn more about the City’s commitment to employment equity.
Accommodation
The City of Toronto is committed to creating an accessible and inclusive organization. We are committed to providing barrier-free and accessible employment practices in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). Should you require Code-protected accommodation through any stage of the recruitment process, please make them known when contacted and we will work with you to meet your needs. Disability-related accommodation during the application process is available upon request. Learn more about the City’s Hiring Policies and Accommodation Process."
22,Digitalization Analyst,Siemens,"Remote in Concord, ON","Posted
Today","Explore our Digital World
Do you want to create technologies that transform the everyday for billions of people? Our digital careers offer the opportunity to shape the next era of growth and innovation, challenging ourselves to build a better future. By creating ground breaking technologies that transform our world, we need the most innovative and diverse Digital Minds to develop tomorrow‘s reality. Picture yourself in the Digital World of Siemens here: www.siemens.com/careers/digitalminds
Why you’ll love working for Siemens!
Freedom and a healthy work- life balance– Embrace our flexible work environment with flex hours, telecommuting and digital workspaces.
Solve the world’s most significant problems – Be part of exciting and innovative projects.
Engaging, challenging, and fast evolving, cutting edge technological environment.
Opportunities to advance your career and mentorship programs on a local and global scale.
Competitive total rewards package.
Profit sharing available.
Rewarding vacation entitlement with the opportunity to buy and sell your vacation depending on your lifestyle.
Contribute to our social responsibility initiatives focused on access to education, access to technology and sustaining communities and make a positive impact on the community.
Participate in our celebrations, social events and offsite business events.
Opportunities to contribute your innovative ideas and get paid for them!
Employee perks and discounts.
Diversity and inclusivity focused.
Siemens is proud to be an eight-time award winner of Canada’s Top 100 Employers, Canada’s Greenest Employers 2022, Canada’s Top Employers for Young People 2022 and Greater Toronto's Top Employers 2022.
What will you do?
Investigation, evaluation, and implementation of digital technologies
Consultation with end users to understand requirements and develop solutions through a combination of process improvement and the implementation of digital technologies
Support the Agile transformation of Ruggedcom
Facilitation of meetings / workshops
Automation of reports
Server management/maintaining automation
Assist in the development of business cases for new digital transformation projects:
What will you need to succeed?
Post-secondary diploma or degree in business, IT, or engineering.
3-5 years working with digital technologies in a business environment
Solid understanding of ERP systems, and specifically SAP with an emphasis on MM and PP modules.
Demonstrated ability to use data analytics software, e.g., PowerBI, Tableau, etc. to create dashboards and automate reports to support the business in timely decision making.
Expertise in documenting process workflows and identifying improvement opportunities.
Experience in both Project Management and Change Management.
Knowledge of Agile work methods.
Strong expertise with MS Office, including Power Automate and Visio.
Ability to work both independently and in cross-functional teams.
A great team player and motivated self-starter with excellent communication skills.
About us.
We share our ideas and champion the people behind them.
For over 110 years, Siemens Canada has stood for engineering excellence, innovation, quality and reliability. Active across Canada, the company focuses on intelligent infrastructure for buildings and distributed energy systems and on automation and digitalization in the process and manufacturing industries. Siemens brings together the digital and physical worlds to benefit customers and society. Through Mobility, a leading supplier of intelligent mobility solutions for rail and road transport, Siemens is helping to shape Canada’s passenger rail services. Via its majority stake in the publicly listed company Siemens Healthineers, Siemens is also a leading supplier of medical technology and digital health services. In addition, Siemens holds a minority stake in Siemens Energy, a global leader in the transmission and generation of electrical power.
Making a difference together we raised $385,000 towards charitable contributions, support over 38 non-profit organizations and planted 660 trees in our local communities. Siemens Canada has 2,500 employees from coast-to-coast and 24 office and production facilities across Canada. Join our team of approximately 293,000 talented professionals in more than 190 countries/regions and help us tackle the most exciting challenges to build a successful future together. So, what are you waiting for? Take your next career step with us.
To learn more about Siemens Canada, visit our website at www.siemens.ca
While we appreciate all applications we receive, we advise that only candidates under consideration will be contacted.

Organization: Digital Industries
Company: Siemens Canada Limited - RuggedCom
Experience Level: Experienced Professional
Full / Part time: Full-time

Siemens is committed to creating a diverse environment and is proud to be an equal opportunity employer. Upon request, Siemens Canada will provide reasonable accommodation for disabilities to support participation of candidates in all aspects of the recruitment process. All qualified applicants will receive consideration for employment.

By submitting personal information to Siemens Canada Limited or its affiliates, service providers and agents, you consent to our collection, use and disclosure of such information for the purposes described in our Privacy Code available at www.siemens.ca.

Siemens s’engage à créer un environnement diversifié et est fière d’être un employeur souscrivant au principe de l’égalité d’accès à l’emploi. Sur demande, Siemens Canada prendra des mesures d’accommodement raisonnables pour les personnes handicapées, dans le but de soutenir la participation des candidats dans tous les aspects du processus de recrutement. Tous les candidats qualifiés seront pris en considération pour ce poste.

En transmettant des renseignements personnels à Siemens Canada limitée ou à ses sociétés affiliées, à ses fournisseurs de services ou à ses agents, vous nous autorisez à recueillir, à utiliser et à divulguer ces renseignements aux fins prévues dans notre Code de protection de la confidentialité, que vous pouvez consulter au www.siemens.ca."
