sr. no,Description,skills/no-skills 
366,individual organizational systems level sound problem,0
367,skills,0
369,technical information,0
370,practical language,0
371,stakeholders,0
372,varying degrees,0
373,technical proficiency,0
374,microsoft office skills,1
375,education,0
377,minimum,0
378,years,0
380,statistical analysis measurement,1
381,evaluation,0
382,successful completion,0
383,either undergraduate degree college diploma,0
384,computer science,1
385,related field health information management,0
386,equivalent experience experience,0
387,complex information systems data analytics business intelligent tools,1
388,previous experience,0
389,requirements,0
390,majority,0
391,working hours,0
392,regular business hours flexibility,0
393,reports,0
394,accordance,0
395,due dates,0
396,cota covid vaccination status disclosure policy proof,0
397,full covid vaccination status,0
398,pre condition,0
399,employment application details,0
400,cover letter,0
401,current resume,0
402,one file,0
403,october,0
404,pm,0
405,human resources,0
406,e mail,0
407,reference cota values commitment cota core values,0
408,hope respect dedication collaboration,0
409,innovation,0
410,centre,0
411,equal opportunity employer,0
412,experienced workforce,0
413,cota commitment,0
414,everyone contributions respect,0
415,everyone dignity,0
416,unique experience,0
417,potentials cota,0
418,acts,0
419,discrimination,0
420,harassment,0
421,grounds,0
422,human rights legislation,0
423,commitment,0
424,hiring process,0
425,course,0
426,employment cota accessibility statement cota,0
427,principles,0
428,accessibility,0
429,ontarians,0
430,disabilities,0
431,aoda,0
432,entire hiring process,0
433,accommodations,0
434,applicants,0
435,disabilities,0
436,recruitment related accommodation needs,0
437,requests,0
438,hr department,0
439,e mail,0
440,additional information,0
441,covid announcement,0
442,current pandemic cota,0
443,parts,0
444,hiring process,0
446,agile workforce,1
447,cota staff,0
448,operational needs,0
449,essential services,0
450,scent free cota,0
451,scent free environment,0
452,staff,0
453,visitor,0
454,sites,0
455,fragrances,0
456,scented personal care products,0
457,high volumes,0
458,interests,0
459,interview,0
460,cota hr department job types,0
461,permanent salary,0
462,hour,0
463,benefits company pension dental care disability insurance employee assistance program,0
464,health care life insurance rrsp match schedule hour shift education,0
465,dcs,0
466,dec required experience statistical analysis measurement evaluation,0
467,report,1
468,years,0
469,application deadline,0
470,ontario health,0
471,candidates,0
472,first nations métis inuit,0
473,urban indigenous francophone,0
474,members,0
475,slgbtqia communities trans,0
476,nonbinary,0
477,difference,0
478,career,0
479,opportunity,0
480,analyst,1
481,development,1
482,primary data analysis,1
483,ontario health administrative databases,1
484,concise set,0
485,evidence based guidance,0
486,associated quality indicators,0
487,ontario health,0
488,topics,0
489,high priority areas,0
490,quality improvement,0
491,analyst,1
492,quality indicators,0
493,currently available provincial datasets,1
494,advice,0
495,local measurement,0
496,new data collection,1
497,provincial data elements,1
498,analyst,1
499,research data analytical skills,1
500,knowledge,1
501,ontario health care data,1
502,analyses,1
503,administrative clinical data,1
504,areas,0
505,ontario health system,0
506,quality gaps,0
507,current practice,0
508,optimal care,0
509,analyst,1
510,descriptive analyses,1
511,populations,0
512,service areas,0
513,interest examine,0
514,regional institutional variations,0
515,utilization,0
516,outcomes,0
517,data,1
518,practice patterns,1
519,performance,0
520,health systems,0
521,data analyst,1
522,findings,0
523,relevant existing published research,0
524,primary data analysis,1
525,analyst,1
526,development,1
527,analytical methodology,1
528,health administrative clinical data sources,1
529,internal external facing informational products,0
530,actionable insights,0
531,quality improvement performance management,0
534,analyst,1
535,cross functional teams,0
536,stakeholders,0
537,technical knowledge,0
538,analysis requirements,1
539,indicator development,1
540,data,1
541,initiatives,0
542,quality division,0
543,collaboration,0
544,lead,0
545,senior analyst,1
546,analyst,1
547,information,0
548,program areas,0
549,ontario health,0
550,external stakeholders subject matter experts,0
551,organizations,0
552,overall contributes,0
553,ontario health mission,0
554,meaningful improvement,0
555,health care,0
556,use,0
557,analytics,1
558,evidence,0
559,unwarranted variation,0
560,care,0
561,expert guidance,0
562,health care administrative databases,0
563,ontario,0
564,advice,0
565,measurable areas,0
566,quality improvement,0
567,quality standard topics,0
568,projects analysis,1
569,content development,1
570,analysis,1
571,different sources,0
573,broad spectrum,0
574,health care topics,0
575,foci,0
576,quantitative analysis,1
578,intellihealth,0
579,cihi portal applications inform,0
580,primary ontario data analysis,1
581,peer reviewed research,0
582,literature,0
583,topic area,0
584,accessible presentations,0
585,analysis methods results,1
586,conclusions,0
587,wide range,0
588,audiences,0
589,clinicians,0
590,administrators policy makers,0
591,patients families,0
592,caregivers,0
593,experts,0
594,available information,0
595,available provincial data sources,0
596,key areas,0
597,suitability,0
598,measurement,0
599,key quality statements,0
600,gaps,0
601,available data elements,0
602,measurement,0
603,options,0
604,gaps,0
605,provincial local levels coordination collaboration,0
606,quality division colleagues,0
607,analytics,1
608,colleagues work,0
609,clinical guidelines,0
610,literature,0
611,quality statements,0
612,analyze,1
613,preparation,0
614,documents,0
615,presentation material,0
616,data analysis,1
617,measurement related content,0
618,presentations reports,0
619,documents,0
620,tools,0
621,products,0
622,quality standards,0
623,implementation,1
624,development,1
625,recommendations,0
626,quality indicators,0
627,mapping,0
628,recommended indicators,0
629,existing data sources,1
630,recommendations,0
631,data collection,1
632,support calculation,0
633,quality indicators,0
634,ontario health,0
635,external reporting platforms,0
636,e g public reporting quality improvement plans,0
637,personalized reporting vehicles relationship management,0
638,relationships,0
639,colleagues,0
641,organization,0
642,business operations activities,0
643,research,1
644,shares information,0
645,assistance,0
646,methodologies,0
647,results coordinates,0
648,internal external stakeholders,0
649,project activities,0
650,internal colleagues,0
651,projects,0
652,time,0
653,budget,0
654,successful undergraduate degree,0
655,health services research epidemiology social health sciences biostatistics mathematics statistics,0
656,another relevant discipline master preferred years,0
658,research analytical techniques experience,0
659,statistical packages,1
660,stata,0
661,preferred experience,0
662,administrative clinical data,1
663,ontario setting experience,0
664,intellihealth cihi portal,0
665,health care data analysis platforms knowledge,1
666,health indicators,0
667,e g definitions,0
668,periods,0
669,populations,0
670,preferred knowledge,0
671,microsoft office software,1
672,applications,0
673,word,0
674,powerpoint knowledge,1
675,skills expert,0
676,knowledge,1
677,ontario health care data,0
678,analyses,1
679,administrative clinical data,1
680,areas,0
681,ontario health system,0
682,quality gaps,0
683,current best practice,0
684,optimal care,0
685,understanding,0
686,health equity,0
687,social determinants,0
688,health,0
689,impacts,0
690,health outcomes,0
691,different populations experience,0
692,health equity data patient experiences,0
693,outcomes,0
694,specific populations,0
695,asset strong interpersonal relationship building skills,0
696,demonstrated experience,0
697,relationships,0
698,consensus,0
699,diverse stakeholders,0
700,novel thinker,0
701,innovative ideas,0
702,solutions,0
703,strong attention,0
704,detail,0
705,accuracy,0
706,initiative,0
707,independence,0
708,appropriate action,0
709,organizational needs ability,0
710,opinions,0
711,evidence,0
712,ways,0
713,means,0
714,principles,0
715,goals ability,0
716,colleagues stakeholders,0
717,public,0
718,different disciplines,0
719,varying degrees,0
720,technical experience capacity,0
721,rapid pace work environment ability,0
722,tasks,0
723,timely manner,0
724,high quality results employment type,0
725,permanent full time paygrade,0
726,zone b location ontario,0
727,currently virtual subject,0
728,applicants,0
729,resident,0
730,ontario,0
731,roles,0
732,ontario health internal application deadline date,0
733,applicants,0
734,us,0
735,accommodation,0
736,application,0
737,interview process,0
738,someone,0
739,instructions,0
740,high level,0
741,attention,0
742,detail,0
743,cover letter,0
745,microsoft,0
746,local market research,0
747,jr research analyst,1
748,strong excel skills,1
749,downtown toronto,0
751,full time,0
753,remote workers,0
754,solid customer base,0
755,brand,0
756,coming years,0
757,ground floor,0
758,room,0
759,advancement,0
760,personal skills,0
762,projects,0
763,wide variety,0
764,tier companies,0
765,north america,0
766,array,0
767,survey consulting services,0
768,reporting models,1
769,data,1
770,actionable results,0
771,job description position,0
772,contributions,0
773,program developments,1
774,design sample selection,0
775,online surveys,0
776,clients,0
777,clients,0
778,survey progress,0
779,troubleshoot,0
780,inquiries,0
781,survey participants,0
782,complex data research outcomes,0
783,engaging actionable formats,0
784,clients,0
785,exceptionally strong research design,0
786,core analytical skills filter,1
787,clean data,1
788,computer reports,1
789,printouts,0
790,performance indicators,0
791,code problems,0
792,small team,0
793,business,0
794,information,0
795,locate,0
796,new process improvement opportunities,0
797,university degree,0
798,business economics information management,0
799,statistics solid working knowledge,1
800,excel pivot tables vlooksups,1
801,filters,0
802,picture tools,0
803,macros,0
804,strong report,0
805,detail detail quality oriented proven organizational skills,1
806,ability,0
807,multiple tasks,0
808,simultaneous projects,0
809,great communication,0
810,storytelling skills,0
811,html css coding skills,1
812,added bonus job types,0
813,full time,0
814,permanent salary,0
815,year,0
816,benefits dental care extended health care,0
817,time,0
818,schedule hour shift,0
819,start date,0
820,data analyst,1
821,operational support,0
823,lawyers,0
824,team enterprise initiatives,0
825,database services candidate,0
826,cleaning,0
827,interpreting,1
828,data,1
829,different approaches,0
830,business intelligence tools,1
831,data analysis candidate,1
832,business,0
833,key insights,0
834,transformation,0
835,raw data,1
836,meaningful statistics information,1
837,explanations experience,0
838,large technology enterprise minimum years experience,0
839,excel based analysis min years experince,1
840,macros,0
841,microsoft access sql skills job type full time salary,1
842,year,0
843,schedule hour shift ability,0
844,relocate toronto,0
845,work,0
846,team metro supply chain,0
847,strategic supply chain solutions partner,0
848,world fastest growing recognizable organizations,0
849,customers business,0
850,innovative real world solutions,0
851,culture,0
852,communities,0
853,environment,0
855,past years,0
856,significant operation,0
857,sites,0
858,north america,0
859,europe,0
860,team members,0
861,change,0
862,success,0
863,every level,0
864,business,0
865,new technologies,0
866,products,0
867,best talent,0
868,company,0
869,responsibilities,0
870,insightful business intelligence,1
871,supply chain distribution centres transportation teams,0
872,time critical businesses,0
873,effective communication style,0
874,demonstrated ability,0
875,teams,0
876,insightful business analytics,1
877,distribution centres transportation contract packaging,0
878,time,0
879,critical teams,0
880,historical data,0
881,decision,0
882,descriptive analytics,1
883,predictive modeling,1
884,competitive advantage,0
885,customer data,1
886,performance picture,0
887,boxes,0
888,point,0
889,work,0
890,key business partners,0
892,transformational business growth initiatives,0
893,customer,0
894,shareholder value,0
895,targets,0
896,company senior leadership,0
897,qualifications university college degree,0
898,data science analytics engineering,1
899,related field recent graduate,0
900,years,0
901,relevant experience,0
902,exposure,0
903,data visualization tools,1
904,powerbi,1
905,interactive reports complex dashboards,1
906,different audiences,0
907,calculated kpis,0
908,metrics,0
909,complex formulas data mining capabilities,1
910,ability,0
911,data,1
912,actionable insight,0
913,recommendations,0
914,continuous improvement problem,0
915,ability,0
916,business objectives core competencies,0
917,high performing motivated individual,0
918,environment,0
919,change,0
920,ambiguity,0
921,evolving strategy,0
922,building,0
923,initiatives strategies,0
924,results,0
925,organization,0
926,customer,0
927,effective communication style,0
928,demonstrated ability,0
929,teams strategic thinker,0
930,strong execution skills problem solvers,1
931,ability,0
932,business objectives,0
933,strong business acumen,0
934,data,1
935,numbers,1
936,life,0
937,excellent analytical visualization skills project management skills humble intelligence,1
938,confidence,0
939,great attitude,0
940,ability,0
941,sleeves,0
942,team members,0
943,hands,0
944,capacity,0
945,us,0
946,opportunity,0
947,career,0
948,growing company medical dental vision coverage,0
949,family life disability insurance wellness programs,0
950,family,0
951,retirement savings program,0
952,company match employee appreciation day company,0
953,social events community volunteering leaders,0
954,development,1
956,dynamic collaborative progressive high performing team flexible work life balance options opportunities,0
957,challenging work,0
958,progressively greater accountabilities,0
959,diverse workplace,0
961,applications,0
962,qualified individuals,0
963,accommodation,0
964,special ability,0
965,recruitment process,0
966,member,0
967,human resources team,0
968,responsibilities,0
969,monthly report generation gathering project status,1
970,data analysis,1
971,program management consultants,1
972,adhoc tasks skills,1
973,excel familiarity,0
974,pivot tables vlookups,1
975,macros vba,0
976,good communication skills customer facing experience,0
977,initiatives,0
978,job type fixed term contract schedule hour shift,0
979,past months,0
980,toronto foundation,0
981,student success,0
982,digital transformation,1
983,data management capabilities,1
984,insight driven strategies,0
985,actions,0
986,digitally enabled technology architecture,0
987,staff,0
988,digital tools,0
989,data,1
990,services,0
991,pandemic overview,0
992,opportunity,0
993,full time position,0
994,growth,0
995,need,0
996,data,1
997,insight driven strategies,0
998,actions,0
999,need,0
1000,data analyst,1
1001,digital transformation services director,0
1002,management,0
1003,right technical capabilities,0
1004,business requirements,0
1005,data analysis,1
1006,right values,0
1007,mindset,0
1008,resulting digital data analysis,1
1009,services,0
1010,agile influenced approach,1
1011,digital transformation,0
1012,following cloud based platforms,0
1013,business operations,0
1014,data management,1
1015,microsoft business premium microsoft power apps,1
1016,dataverse platform,1
1017,microsoft power bi blackbaud raiser edge financial edge,1
1018,data analyst,1
1019,digital transformation services director,0
1020,business data requirements,1
1021,digital transformation plan,0
1022,key stakeholders,0
1023,team members,0
1024,documentation,0
1025,existing new technologies,0
1026,microsoft users training staff,0
1027,better practices,0
1028,cloud storage,1
1029,document sharing,0
1030,organization requirements,0
1031,digitally enabled processes,0
1032,data analytics,1
1033,services,0
1034,required business processes,0
1035,user stories data models,1
1036,dashboards,1
1037,impact,0
1038,regulatory compliance requirements,0
1039,management,0
1040,sensitive personal data,1
1041,design,0
1042,testing,0
1043,digital solutions,0
1044,project management office,0
1045,user stories,0
1046,solution enhancements,0
1047,users,0
1048,digital solution,0
1049,tools,0
1050,data management reporting,1
1051,analytic needs,1
1052,skilled dedicated team,0
1053,roles,0
1054,organizational functions core,0
1055,success,0
1056,organization,0
1057,stakeholders,0
1058,organization,0
1059,set,0
1060,business processes data management reporting requirements,1
1061,date knowledge,1
1062,relevant data modeling techniques data analytics tools,0
1063,microsoft dataverse platform,1
1064,power bi,1
1065,equivalent low code,0
1066,code data management reporting,1
1067,analysis solutions,1
1068,ability,0
1069,story,0
1070,data,1
1071,day,0
1072,day,0
1073,decision making,0
1074,organization,0
1075,ability,0
1076,work,0
1077,value,0
1078,others,0
1079,organization wide engagement,0
1080,excitement,0
1082,position,0
1083,someone,0
1084,strong leadership,0
1085,career,0
1086,date,0
1087,organization,0
1088,data management,1
1089,analytics,1
1090,goals,0
1091,student needs,0
1092,funders,0
1093,evidence,0
1094,impact,0
1095,programs,1
1096,services,0
1097,needs,0
1099,years,0
1100,relevant data analysis experience,0
1101,new technologies,0
1102,tools,0
1103,questions,0
1104,organizational requirements,0
1105,needs,0
1106,organization,0
1107,technologically sensible data management analytics solutions,0
1108,training,0
1109,organizational change,0
1110,digital transformation,0
1111,process,0
1112,others,0
1113,journey,0
1114,qualifications,0
1115,microsoft apps knowledge sharepoint powerpoint,1
1116,advanced excel,1
1117,must computer literacy,0
1118,fluency,0
1120,microsoft office applications,0
1121,especially data management,1
1122,ms excel,1
1123,haves,0
1124,position writing skills,0
1125,clear consistent procedures,0
1126,business processes,0
1127,analyses,1
1128,track solutions,0
1129,detail,0
1130,quality work,0
1131,every stage,0
1132,process,0
1133,creativity creativity,0
1134,solutions,0
1135,process,0
1136,operations,0
1137,use,0
1138,tools communication skills,0
1139,ideas,0
1140,business requirements,0
1141,operational functional requirements,0
1142,development teams awareness,1
1143,trends,0
1144,directions assets experience,0
1145,microsoft power apps dynamics,1
1146,power automate,1
1147,plus working knowledge,0
1148,agile project methodology,1
1149,policy,0
1150,access,0
1151,equity,0
1152,hiring practices,0
1153,website,0
1154,www tfss,0
1155,candidates,0
1156,interviews,0
1157,phone inquiries,0
1158,cover letter,0
1159,resume,0
1160,email,0
1161,job type,0
1162,full time salary,0
1163,year,0
1164,dental care extended health care vision care schedule day shift,0
1165,friday application question,0
1166,many years,0
1167,work experience,0
1168,microsoft apps,0
1169,many years,0
1170,work experience,0
1171,microsoft dynamics,0
1172,many years,0
1173,work experience,0
1174,microsoft power,1
1175,bi,0
1176,work experience,0
1177,microsoft power automate work location hybrid remote,1
1178,york,0
1179,part time,0
1180,data analyst asap hour,1
1181,position,0
1182,student,0
1184,anyone,0
1185,side hustle,0
1186,articles,0
1187,coding required candidate,0
1188,tasks,0
1189,job description,0
1190,mailing list,0
1191,mailchimp,0
1192,articles,0
1193,wordpress based websites,0
1194,coding required month end price capture,0
1195,excel sheets prices,0
1196,various metals,0
1197,sheet,0
1198,following websites,0
1199,https mineralprices,1
1200,https ecologyfinance com https mineralfunds com reports,1
1201,right hand sidebar job type,0
1202,part time salary,0
1203,hour flexible language requirement,0
1204,french,0
1205,required ability,0
1206,relocate toronto,0
1207,reliably commute,0
1208,work preferred application deadline,0
1209,difference,0
1210,career,0
1211,opportunity,0
1212,hands,0
1213,operational role,0
1214,individual,0
1215,analytical support,1
1216,integrated provincial network,1
1217,public hospital,0
1218,community laboratories,0
1219,key metrics,0
1221,performance management,0
1222,labs,0
1223,network,0
1224,key performance metrics,0
1225,order,0
1226,reports,0
1227,insights,0
1228,common trends,0
1229,regions,0
1230,covid testing,0
1231,completion,0
1232,report materials minutes status,0
1233,provincial regional dashboards,1
1234,operational key performance indicators,0
1235,lab network,0
1236,daily data,0
1237,laboratories,0
1238,assists,0
1239,data analysis,1
1240,performance,0
1241,supply related insights trends,0
1242,findings,0
1243,operational strategic decision making,0
1244,relationships,0
1245,ontario health stakeholders,0
1246,successful resolution,0
1247,issues,0
1248,network,0
1249,team members,0
1250,best available information,0
1251,key senior stakeholders senior stakeholders,0
1252,oh moh,0
1253,agencies,0
1254,timely information education,0
1256,post secondary degree,0
1257,business administration operations management health informatics data analytics,1
1258,related health care field master degree preferred years,0
1260,provision,0
1261,expertise,0
1262,services,0
1263,area,0
1264,performance management reporting,0
1265,data analytics,1
1266,health care sector laboratory related experience,0
1267,asset knowledge,0
1268,skills,0
1269,ability,0
1270,complex stakeholder groups,0
1271,issues,0
1272,change,0
1273,excellent oral,0
1274,written communication skills,0
1275,ability,0
1276,effective presentations,0
1277,questions,0
1278,reports proposals,0
1279,position statements,0
1280,excel proficiency familiarity,0
1281,analytical tools,1
1282,e g alteryx,0
1283,r power bi knowledge,1
1284,performance measurement metrics,0
1285,strong skillset,0
1286,data visualizations,1
1287,enthusiasm initiative,0
1288,ability,0
1289,deadlines project management skills,0
1290,multiple priorities,0
1291,ability,0
1292,pressure,0
1293,fast paced environment,0
1294,high caliber judgment employment type,0
1295,permanent full time paygrade,0
1296,zone b employment location toronto ontario,0
1297,currently virtual subject,0
1298,applicants,0
1299,resident,0
1300,ontario,0
1301,roles,0
1302,ontario,0
1304,initial recruitment screening process applicants,0
1305,applicants,0
1306,accommodation,0
1307,protected ground,0
1308,code,1
1309,accommodation,0
1310,applicant,0
1311,recruitment process,0
1312,policy planning research division,0
1313,job type duration,0
1314,hourly rate shift information,0
1315,friday hours,0
1316,week,0
1317,affiliation,0
1318,l full time number,0
1319,positions,0
1320,transportation services division,0
1321,seven research analyst,1
1322,data analytics unit,1
1324,policy innovation section,0
1325,data analytics unit,1
1326,hub,0
1327,data analytics,1
1328,data management,1
1329,transportation services division,0
1330,unit,0
1331,four teams data operations,0
1332,emerging mobility data science safety,1
1333,data collection,1
1334,digital products,0
1335,unit,0
1336,following teams data operations positions,0
1337,data analytics unit digital infrastructure,1
1338,hosting,0
1339,transportation data,0
1340,testing,0
1341,evaluation,0
1342,new sources,0
1343,data,1
1345,analysis,1
1346,emerging mobility,0
1347,car share,0
1348,vehicle,0
1349,hire industry data science positions,1
1350,advanced data analysis machine learning,1
1351,statistical methods,1
1352,analyses,1
1353,data tools,1
1354,development,1
1355,evaluation priority divisional programs,0
1356,projects,0
1357,focus,0
1358,road safety,0
1359,multi,0
1360,modal network monitoring,1
1361,performance data collection positions,0
1362,multi modal data collection analysis projects,1
1363,emerging data collection technologies,1
1364,methods,0
1365,cycling,0
1366,transportation data developing processes,0
1367,procedures,0
1368,data collection program,1
1369,day,0
1370,data collection program virtual information session,1
1371,interested applicants,0
1372,virtual information session,0
1373,opportunity,0
1374,policy innovation section,0
1376,responsibilities,0
1377,research analyst position date,1
1378,october,0
1379,https toronto,0
1380,webex com toronto j php mtid mccbfcffcbcbcee,0
1381,name,0
1382,email address,0
1383,password,0
1384,meeting password kmvzgpdm,0
1385,instructions,0
1386,screen,0
1387,call,0
1388,phone number,0
1389,meeting,0
1390,number,0
1391,access code canada,0
1392,canada toll toronto access code major responsibilities research analyst,0
1393,strong analytical skillset,1
1394,range,0
1395,transportation problems,0
1396,exciting opportunities,0
1397,research,0
1398,intersection,0
1399,transportation urban planning big data data analytics data science machine learning data visualization,0
1400,smart cities topics,0
1401,city,0
1402,better safer equitable transportation network,0
1403,road users,0
1404,successful candidates,0
1405,data analysis,1
1406,digital infrastructure projects support projects,0
1407,safety,0
1408,activeto vision,0
1409,cycling network plan,0
1410,congestion management,0
1411,hire,0
1412,surface transit network plan data analytics,0
1413,statistical data analysis,1
1414,range,0
1415,modern analytical techniques,1
1416,programming languages,1
1417,tools,0
1418,python r sql jupyter notebooks,1
1419,javascript processes,1
1420,cleans,0
1421,spatial data,1
1422,spatial databases,1
